ImageId,Label
1,1
2,0
3,6
4,3
5,3
6,6
7,0
8,2
9,1
10,1
11,5
12,5
13,7
14,0
15,5
16,3
17,2
18,1
19,8
20,1
21,7
22,1
23,3
24,3
25,7
26,5
27,4
28,9
29,6
30,5
31,7
32,3
33,4
34,1
35,4
36,2
37,4
38,4
39,4
40,4
41,4
42,5
43,5
44,7
45,5
46,5
47,5
48,3
49,7
50,4
51,6
52,6
53,4
54,4
55,6
56,3
57,1
58,4
59,1
60,3
61,5
62,2
63,7
64,2
65,0
66,0
67,1
68,6
69,1
70,2
71,4
72,4
73,5
74,7
75,5
76,4
77,4
78,6
79,1
80,2
81,4
82,5
83,1
84,2
85,8
86,2
87,4
88,2
89,5
90,7
91,2
92,0
93,6
94,5
95,4
96,5
97,3
98,7
99,6
100,4
101,2
102,5
103,1
104,0
105,7
106,3
107,0
108,5
109,0
110,5
111,2
112,0
113,4
114,3
115,1
116,4
117,2
118,1
119,3
120,5
121,3
122,7
123,2
124,3
125,7
126,3
127,6
128,6
129,7
130,7
131,4
132,4
133,4
134,1
135,0
136,1
137,3
138,1
139,4
140,3
141,4
142,1
143,4
144,5
145,4
146,6
147,7
148,8
149,1
150,4
151,6
152,2
153,4
154,6
155,4
156,2
157,7
158,4
159,6
160,6
161,2
162,2
163,4
164,4
165,1
166,4
167,4
168,4
169,5
170,0
171,1
172,6
173,7
174,6
175,1
176,3
177,6
178,3
179,1
180,2
181,5
182,3
183,5
184,3
185,5
186,9
187,2
188,1
189,5
190,0
191,6
192,3
193,4
194,5
195,5
196,0
197,7
198,7
199,2
200,7
201,1
202,7
203,2
204,7
205,7
206,0
207,5
208,5
209,4
210,2
211,0
212,6
213,3
214,6
215,9
216,4
217,2
218,6
219,3
220,5
221,1
222,2
223,1
224,0
225,3
226,7
227,5
228,6
229,3
230,1
231,0
232,4
233,8
234,3
235,5
236,2
237,1
238,2
239,5
240,6
241,6
242,5
243,2
244,4
245,5
246,5
247,6
248,10
249,3
250,4
251,7
252,5
253,2
254,6
255,6
256,6
257,5
258,2
259,6
260,2
261,2
262,3
263,5
264,5
265,7
266,0
267,6
268,7
269,3
270,1
271,6
272,1
273,6
274,4
275,6
276,5
277,2
278,5
279,6
280,5
281,0
282,7
283,1
284,3
285,5
286,2
287,9
288,6
289,8
290,7
291,4
292,8
293,7
294,7
295,6
296,5
297,3
298,1
299,1
300,1
301,6
302,7
303,6
304,2
305,5
306,3
307,4
308,2
309,6
310,4
311,7
312,4
313,6
314,3
315,-1
316,4
317,8
318,4
319,2
320,4
321,5
322,2
323,2
324,7
325,8
326,6
327,5
328,1
329,3
330,5
331,6
332,4
333,1
334,3
335,3
336,5
337,0
338,6
339,4
340,4
341,3
342,1
343,1
344,7
345,6
346,0
347,5
348,5
349,3
350,4
351,6
352,6
353,5
354,2
355,7
356,7
357,10
358,7
359,0
360,5
361,4
362,6
363,2
364,5
365,7
366,3
367,2
368,4
369,1
370,5
371,6
372,4
373,4
374,7
375,8
376,5
377,6
378,4
379,3
380,6
381,6
382,3
383,5
384,5
385,2
386,5
387,2
388,1
389,3
390,4
391,1
392,9
393,4
394,11
395,5
396,2
397,2
398,1
399,6
400,2
401,7
402,6
403,5
404,2
405,1
406,1
407,5
408,2
409,4
410,5
411,4
412,1
413,7
414,3
415,2
416,9
417,1
418,1
419,2
420,4
421,8
422,5
423,5
424,4
425,3
426,1
427,5
428,5
429,3
430,6
431,4
432,7
433,6
434,2
435,4
436,1
437,4
438,8
439,5
440,0
441,4
442,5
443,7
444,7
445,5
446,3
447,2
448,3
449,2
450,6
451,5
452,6
453,3
454,7
455,4
456,7
457,1
458,3
459,4
460,6
461,4
462,8
463,4
464,0
465,4
466,1
467,7
468,7
469,5
470,1
471,1
472,4
473,8
474,5
475,4
476,1
477,3
478,3
479,1
480,1
481,4
482,6
483,3
484,1
485,5
486,8
487,6
488,5
489,2
490,6
491,4
492,8
493,2
494,6
495,3
496,4
497,3
498,2
499,3
500,2
501,3
502,5
503,5
504,2
505,3
506,5
507,3
508,3
509,1
510,4
511,6
512,6
513,5
514,5
515,6
516,4
517,1
518,6
519,5
520,3
521,3
522,7
523,0
524,6
525,5
526,1
527,0
528,2
529,1
530,6
531,0
532,5
533,2
534,9
535,6
536,4
537,3
538,5
539,4
540,1
541,2
542,2
543,7
544,0
545,1
546,2
547,-1
548,7
549,1
550,2
551,2
552,2
553,1
554,5
555,3
556,0
557,7
558,5
559,6
560,3
561,2
562,2
563,2
564,1
565,3
566,5
567,4
568,1
569,4
570,4
571,3
572,5
573,5
574,3
575,0
576,3
577,2
578,2
579,5
580,3
581,5
582,2
583,3
584,6
585,7
586,1
587,5
588,3
589,7
590,2
591,7
592,5
593,4
594,3
595,2
596,6
597,3
598,4
599,0
600,3
601,1
602,1
603,5
604,1
605,5
606,2
607,7
608,3
609,5
610,5
611,6
612,3
613,3
614,2
615,2
616,7
617,4
618,2
619,1
620,8
621,6
622,6
623,7
624,4
625,2
626,7
627,3
628,4
629,5
630,3
631,4
632,1
633,5
634,6
635,1
636,6
637,6
638,8
639,7
640,2
641,0
642,5
643,7
644,4
645,4
646,5
647,5
648,4
649,2
650,7
651,6
652,7
653,2
654,-1
655,4
656,2
657,4
658,3
659,127775087
660,7
661,3
662,3
663,4
664,0
665,3
666,4
667,1
668,3
669,4
670,5
671,5
672,7
673,5
674,3
675,5
676,6
677,3
678,4
679,6
680,1
681,6
682,7
683,6
684,4
685,3
686,6
687,4
688,5
689,6
690,7
691,2
692,5
693,1
694,2
695,5
696,6
697,2
698,7
699,8
700,6
701,4
702,0
703,7
704,1
705,5
706,0
707,6
708,4
709,6
710,5
711,4
712,6
713,1
714,6
715,5
716,4
717,2
718,3
719,4
720,3
721,6
722,0
723,3
724,0
725,1
726,2
727,6
728,6
729,5
730,3
731,8
732,3
733,3
734,2
735,6
736,6
737,2
738,5
739,3
740,4
741,3
742,3
743,3
744,5
745,1
746,5
747,4
748,6
749,6
750,4
751,3
752,6
753,4
754,4
755,4
756,3
757,9
758,1
759,1
760,5
761,4
762,1
763,5
764,0
765,4
766,0
767,0
768,5
769,2
770,8
771,3
772,6
773,0
774,3
775,4
776,2
777,4
778,3
779,3
780,2
781,1
782,4
783,5
784,7
785,4
786,4
787,5
788,7
789,4
790,5
791,4
792,4
793,5
794,0
795,4
796,3
797,1
798,6
799,7
800,6
801,1
802,1
803,3
804,2
805,2
806,5
807,6
808,6
809,5
810,2
811,10
812,8
813,2
814,3
815,4
816,5
817,0
818,9
819,7
820,7
821,3
822,1
823,3
824,0
825,2
826,6
827,3
828,3
829,4
830,1
831,4
832,1
833,3
834,6
835,0
836,7
837,4
838,1
839,5
840,5
841,2
842,6
